"profile_name","workbooks","last_publish","workbook_screenshot.original_url","workbook_screenshot.viz_img","workbook_thumbnail.original_url","workbook_thumbnail.viz_img","last_publish_datetime"
"anjushreebv","https://public.tableau.com/profile/anjushreebv#!/vizhome/QuarantineSelfRoutine/NormalvsQuarantine",1588266750830,"https://public.tableau.com/profile/anjushreebv#!/vizhome/QuarantineSelfRoutine/NormalvsQuarantine","https://public.tableau.com/static/images/Qu/QuarantineSelfRoutine/NormalvsQuarantine/1.png","https://public.tableau.com/profile/anjushreebv#!/vizhome/QuarantineSelfRoutine/NormalvsQuarantine","https://public.tableau.com/thumb/views/QuarantineSelfRoutine/NormalvsQuarantine",2020-04-30 18:12:30
"steven.shoemaker","https://public.tableau.com/profile/steven.shoemaker#!/vizhome/TheNorthSeaCrash/NorthSea",1588177141724,"https://public.tableau.com/profile/steven.shoemaker#!/vizhome/TheNorthSeaCrash/NorthSea","https://public.tableau.com/static/images/Th/TheNorthSeaCrash/NorthSea/1.png","https://public.tableau.com/profile/steven.shoemaker#!/vizhome/TheNorthSeaCrash/NorthSea","https://public.tableau.com/thumb/views/TheNorthSeaCrash/NorthSea",2020-04-29 17:19:01
"abdelaziz.mahjoub","https://public.tableau.com/profile/abdelaziz.mahjoub#!/vizhome/WOW2020Week17_MonthlySalesProjection/WOW",1587662061791,"https://public.tableau.com/profile/abdelaziz.mahjoub#!/vizhome/WOW2020Week17_MonthlySalesProjection/WOW","https://public.tableau.com/static/images/WO/WOW2020Week17_MonthlySalesProjection/WOW/1.png","https://public.tableau.com/profile/abdelaziz.mahjoub#!/vizhome/WOW2020Week17_MonthlySalesProjection/WOW","https://public.tableau.com/thumb/views/WOW2020Week17_MonthlySalesProjection/WOW",2020-04-23 18:14:21
"laura.schofield","https://public.tableau.com/profile/laura.schofield#!/vizhome/HisforHorses_15872014377200/HisforHorses",1587289663496,"https://public.tableau.com/profile/laura.schofield#!/vizhome/HisforHorses_15872014377200/HisforHorses","https://public.tableau.com/static/images/Hi/HisforHorses_15872014377200/HisforHorses/1.png","https://public.tableau.com/profile/laura.schofield#!/vizhome/HisforHorses_15872014377200/HisforHorses","https://public.tableau.com/thumb/views/HisforHorses_15872014377200/HisforHorses",2020-04-19 10:47:43
"abdelaziz.mahjoub","https://public.tableau.com/profile/abdelaziz.mahjoub#!/vizhome/MakeoverMondayweek15RonaldoVsMessi/MakeoverMondayweek15RonaldoVsMessi",1586823992423,"https://public.tableau.com/profile/abdelaziz.mahjoub#!/vizhome/MakeoverMondayweek15RonaldoVsMessi/MakeoverMondayweek15RonaldoVsMessi","https://public.tableau.com/static/images/Ma/MakeoverMondayweek15RonaldoVsMessi/MakeoverMondayweek15RonaldoVsMessi/1.png","https://public.tableau.com/profile/abdelaziz.mahjoub#!/vizhome/MakeoverMondayweek15RonaldoVsMessi/MakeoverMondayweek15RonaldoVsMessi","https://public.tableau.com/thumb/views/MakeoverMondayweek15RonaldoVsMessi/MakeoverMondayweek15RonaldoVsMessi",2020-04-14 01:26:32
"chiaki.ishida","https://public.tableau.com/profile/chiaki.ishida#!/vizhome/MakeoverMonday2020W15Soccerment/1",1586749254149,"https://public.tableau.com/profile/chiaki.ishida#!/vizhome/MakeoverMonday2020W15Soccerment/1","https://public.tableau.com/static/images/Ma/MakeoverMonday2020W15Soccerment/1/1.png","https://public.tableau.com/profile/chiaki.ishida#!/vizhome/MakeoverMonday2020W15Soccerment/1","https://public.tableau.com/thumb/views/MakeoverMonday2020W15Soccerment/1",2020-04-13 04:40:54
"anjushreebv","https://public.tableau.com/profile/anjushreebv#!/vizhome/ImmigrantsOfCanada/ImmigrantsofCanada",1586582352125,"https://public.tableau.com/profile/anjushreebv#!/vizhome/ImmigrantsOfCanada/ImmigrantsofCanada","https://public.tableau.com/static/images/Im/ImmigrantsOfCanada/ImmigrantsofCanada/1.png","https://public.tableau.com/profile/anjushreebv#!/vizhome/ImmigrantsOfCanada/ImmigrantsofCanada","https://public.tableau.com/thumb/views/ImmigrantsOfCanada/ImmigrantsofCanada",2020-04-11 06:19:12
"abdelaziz.mahjoub","https://public.tableau.com/profile/abdelaziz.mahjoub#!/vizhome/WOW2020Week15DynamicWeekStart/WorkoutWednesday2020Week15DynamicWeekStart",1586366793012,"https://public.tableau.com/profile/abdelaziz.mahjoub#!/vizhome/WOW2020Week15DynamicWeekStart/WorkoutWednesday2020Week15DynamicWeekStart","https://public.tableau.com/static/images/WO/WOW2020Week15DynamicWeekStart/WorkoutWednesday2020Week15DynamicWeekStart/1.png","https://public.tableau.com/profile/abdelaziz.mahjoub#!/vizhome/WOW2020Week15DynamicWeekStart/WorkoutWednesday2020Week15DynamicWeekStart","https://public.tableau.com/thumb/views/WOW2020Week15DynamicWeekStart/WorkoutWednesday2020Week15DynamicWeekStart",2020-04-08 18:26:33
"abdelaziz.mahjoub","https://public.tableau.com/profile/abdelaziz.mahjoub#!/vizhome/StarryNight_15862827832430/StarryNight",1586286240288,"https://public.tableau.com/profile/abdelaziz.mahjoub#!/vizhome/StarryNight_15862827832430/StarryNight","https://public.tableau.com/static/images/St/StarryNight_15862827832430/StarryNight/1.png","https://public.tableau.com/profile/abdelaziz.mahjoub#!/vizhome/StarryNight_15862827832430/StarryNight","https://public.tableau.com/thumb/views/StarryNight_15862827832430/StarryNight",2020-04-07 20:04:00
"abdelaziz.mahjoub","https://public.tableau.com/profile/abdelaziz.mahjoub#!/vizhome/UnpaidworkAllocationoftimeandtime-use/UnpaidworkAllocationoftimeandtime-use",1586189393770,"https://public.tableau.com/profile/abdelaziz.mahjoub#!/vizhome/UnpaidworkAllocationoftimeandtime-use/UnpaidworkAllocationoftimeandtime-use","https://public.tableau.com/static/images/Un/UnpaidworkAllocationoftimeandtime-use/UnpaidworkAllocationoftimeandtime-use/1.png","https://public.tableau.com/profile/abdelaziz.mahjoub#!/vizhome/UnpaidworkAllocationoftimeandtime-use/UnpaidworkAllocationoftimeandtime-use","https://public.tableau.com/thumb/views/UnpaidworkAllocationoftimeandtime-use/UnpaidworkAllocationoftimeandtime-use",2020-04-06 17:09:53
"abdelaziz.mahjoub","https://public.tableau.com/profile/abdelaziz.mahjoub#!/vizhome/PizzWeek13/Dashboard1",1586189102727,"https://public.tableau.com/profile/abdelaziz.mahjoub#!/vizhome/PizzWeek13/Dashboard1","https://public.tableau.com/static/images/Pi/PizzWeek13/Dashboard1/1.png","https://public.tableau.com/profile/abdelaziz.mahjoub#!/vizhome/PizzWeek13/Dashboard1","https://public.tableau.com/thumb/views/PizzWeek13/Dashboard1",2020-04-06 17:05:02
"laura.schofield","https://public.tableau.com/profile/laura.schofield#!/vizhome/GisforGames_15860947818470/Findanewgame",1586095222037,"https://public.tableau.com/profile/laura.schofield#!/vizhome/GisforGames_15860947818470/Findanewgame","https://public.tableau.com/static/images/Gi/GisforGames_15860947818470/Findanewgame/1.png","https://public.tableau.com/profile/laura.schofield#!/vizhome/GisforGames_15860947818470/Findanewgame","https://public.tableau.com/thumb/views/GisforGames_15860947818470/Findanewgame",2020-04-05 15:00:22
"abdelaziz.mahjoub","https://public.tableau.com/profile/abdelaziz.mahjoub#!/vizhome/WOW2020Week14SalesPipeline/salespipeline",1585680149567,"https://public.tableau.com/profile/abdelaziz.mahjoub#!/vizhome/WOW2020Week14SalesPipeline/salespipeline","https://public.tableau.com/static/images/WO/WOW2020Week14SalesPipeline/salespipeline/1.png","https://public.tableau.com/profile/abdelaziz.mahjoub#!/vizhome/WOW2020Week14SalesPipeline/salespipeline","https://public.tableau.com/thumb/views/WOW2020Week14SalesPipeline/salespipeline",2020-03-31 19:42:29
