workbookRepoUrl,title,defaultViewName,viewCount,numberOfFavorites,authorDisplayName,authorProfileName,defaultViewRepoUrl,profileName,VOTD_flag
MOM2023W15TheDougScore,MOM2023W15:The DougScore,Dashboard2,55,0,YusukeNakanishi,yusukenakanishi,MOM2023W15TheDougScore/sheets/Dashboard2,yusukenakanishi,
WOW2023_W15_CanyoucreateaDIGITALSIGNAGE,WOW2023_W15_Can you create a DIGITAL SIGNAGE?,goal,2772,2,YusukeNakanishi,yusukenakanishi,WOW2023_W15_CanyoucreateaDIGITALSIGNAGE/sheets/goal,yusukenakanishi,
Book1_16807687108420,MOM2023W14_Hate Crime in Chicago,Dashboard1,35,0,YusukeNakanishi,yusukenakanishi,Book1_16807687108420/sheets/Dashboard1,yusukenakanishi,
WOW2023_W13_Canyouusedynamicaxistitles,WOW2023_W13_Can you use dynamic axis titles?,Dashboard1,16,0,YusukeNakanishi,yusukenakanishi,WOW2023_W13_Canyouusedynamicaxistitles/sheets/Dashboard1,yusukenakanishi,
MOM2023W13_TheGenderPayGapinUSWorldCupBonuses2019,MOM2023W13_The Gender Pay Gap in US World Cup Bonuses(2019),Dashboard1,26,0,YusukeNakanishi,yusukenakanishi,MOM2023W13_TheGenderPayGapinUSWorldCupBonuses2019/sheets/Dashboard1,yusukenakanishi,
MOM2023W12_USWindTurbines,MOM2023W12_US Wind Turbines,Dashboard1,127,1,YusukeNakanishi,yusukenakanishi,MOM2023W12_USWindTurbines/sheets/Dashboard1,yusukenakanishi,
WOW2023_W12_Canyoubuildadashboardusingcontainers,WOW2023_W12_Can you build a dashboard using containers?,goal,14,0,YusukeNakanishi,yusukenakanishi,WOW2023_W12_Canyoubuildadashboardusingcontainers/sheets/goal,yusukenakanishi,
WOW2023_W11_CanYouCompareStateSales,WOW2023_W11_Can You Compare State Sales?,Dashboard3,13,0,YusukeNakanishi,yusukenakanishi,WOW2023_W11_CanYouCompareStateSales/sheets/Dashboard3,yusukenakanishi,
MOM2023W11_NCAAWomensCollegeBasketballplayersheight2016-17,MOM2023W11_NCAA Womens College Basketball players height 2016-17,Dashboard1,38,0,YusukeNakanishi,yusukenakanishi,MOM2023W11_NCAAWomensCollegeBasketballplayersheight2016-17/sheets/Dashboard1,yusukenakanishi,
WOW2023_W10_LetspracticeDeviceDesigner,WOW2023_W10_Let’s practice Device Designer,1,19,0,YusukeNakanishi,yusukenakanishi,WOW2023_W10_LetspracticeDeviceDesigner/sheets/1,yusukenakanishi,
MOM2023W10_MeatProductioninGermany,MOM2023W10_Meat Production in Germany,1_1,50,0,YusukeNakanishi,yusukenakanishi,MOM2023W10_MeatProductioninGermany/sheets/1_1,yusukenakanishi,
MOM2023W09_HIGHSTREETCOFFEECAFFEINECONTENTCOMPARED,MOM2023W09_HIGH STREET COFFEE CAFFEINE CONTENT COMPARED,1_1,52,0,YusukeNakanishi,yusukenakanishi,MOM2023W09_HIGHSTREETCOFFEECAFFEINECONTENTCOMPARED/sheets/1_1,yusukenakanishi,
Viz_16777607550050,#和Viz2023冬　国際空港を除いたコロナ前後の入出国者数ランキング,1,20,0,YusukeNakanishi,yusukenakanishi,Viz_16777607550050/sheets/1,yusukenakanishi,
WOW2023_W09_Atrickyfilter,WOW2023_W09_A tricky filter!,1,21,0,YusukeNakanishi,yusukenakanishi,WOW2023_W09_Atrickyfilter/sheets/1,yusukenakanishi,
